Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-05-30,2023-05-30,3885,ND GAME & FISH DEPT-IN,Other Services,30.00,
2023-05-28,2023-05-29,3885,WAL-MART #1695,Merchandise,11.83,
2023-05-28,2023-05-29,3885,HOLIDAY STATIONS 0382,Gas/Automotive,10.40,
2023-05-27,2023-05-29,3885,BURGER KING #1589  Q07,Dining,6.41,
2023-05-27,2023-05-29,3885,WAL-MART #1545,Merchandise,21.78,
2023-05-27,2023-05-29,3885,WM SUPERCENTER #5806,Merchandise,79.32,
2023-05-25,2023-05-26,3885,AMTRAK .CO1440667121260,Other Travel,32.00,
2023-05-24,2023-05-26,3885,RAISING CANES 0391,Dining,10.17,
2023-05-25,2023-05-25,3885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,415.70
2023-05-24,2023-05-24,3885,STEAMGAMES.COM 4259522,Internet,90.73,
2023-05-22,2023-05-23,3885,AMZN Mktp US*KA1NG4BD3,Merchandise,16.78,
2023-05-21,2023-05-22,3885,HY-VEE LAKEVILLE 1356,Merchandise,32.09,
2023-05-22,2023-05-22,3885,Amazon.com*G97B736Z3,Merchandise,33.94,
2023-05-19,2023-05-20,3885,AMZN Mktp US*PR19A3553,Merchandise,74.75,
2023-05-17,2023-05-18,3885,FIVE GUYS MN 1808 QSR,Dining,21.44,
2023-05-17,2023-05-18,3885,AMZN Mktp US*0H6F01D73,Merchandise,74.67,
2023-05-16,2023-05-18,3885,BURGER KING #11033 Q07,Dining,25.11,
2023-05-17,2023-05-17,3885,STEAMGAMES.COM 4259522,Internet,21.34,
2023-05-15,2023-05-15,3885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,437.71
2023-05-15,2023-05-15,3885,AMZN Mktp US*TW4MU6VR3,Merchandise,83.55,
2023-05-12,2023-05-15,3885,PHO 45,Dining,39.51,
2023-05-13,2023-05-15,3885,WHITES TENDERMAID,Dining,75.33,
2023-05-13,2023-05-13,3885,AMZN Mktp US*ET1LH02I3,Merchandise,27.81,
2023-05-13,2023-05-13,3885,AMZN Mktp US*BR0G94DZ3,Merchandise,96.40,
2023-05-10,2023-05-12,3885,RAISING CANES 0391,Dining,10.17,
2023-05-07,2023-05-08,3885,WAL-MART #2642,Merchandise,58.36,
2023-05-05,2023-05-06,3885,MARCUS ROSEMOUNT BOX,Entertainment,41.79,
2023-05-05,2023-05-06,3885,CUB LIQUOR,Merchandise,31.51,
2023-05-05,2023-05-06,3885,MEXICAN TO THE BONE,Dining,15.95,
2023-05-03,2023-05-05,3885,KYOTO SUSHI,Dining,24.60,
2023-05-03,2023-05-04,3885,SP CUCUCOVERS.COM,Merchandise,20.00,
2023-05-03,2023-05-04,3885,Amazon.com*CV8FU66Y3,Merchandise,46.92,
2023-05-02,2023-05-03,3885,HY-VEE LAKEVILLE 1356,Merchandise,52.14,
2023-04-30,2023-05-01,3885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,17.07
2023-04-30,2023-05-01,3885,AMZN Mktp US*HM7W87XN0,Merchandise,12.06,

